IATA Code,AA,DL,WN,UA,AS,B6,NK,G4,HA,OO,CO,NW,TW,HP,US,AC,WS,,,BA,IB,AF/KL,AF,KL,FR,U2,LH,DY,AY,W6,SQ,QF,JL,NH,KE,OZ,CX,CM,G3,LA,,CA,MU,CZ,HU,9C,HO,6E,SG,9W,KQ,MN,EK,QR,SU,TK,G9,J9,RJ
Revenue TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019'Q2,"45,155 M","45,723 M","22,197 M","42,281 M","8,523 M","7,876 M","3,577 M","1,754 M","2,835 M","3,097 M",,,,,,"13,924 M","1,735 M",955 M,"28,299 M",,,"30,607 M",,,"8,977 M","7,799 M","18,348 M","4,795 M","3,437 M","2,820 M","11,626 M","12,542 M",13 M,18 M,11 M,6 M,"13,957 M","2,693 M","3,402 M","10,426 M",,"20,307 M","18,033 M","22,232 M","10,388 M","2,206 M","2,313 M","4,431 M","1,534 M",41 M,"1,196 M",489 M,"29,003 M","13,579 M","10,070 M","12,976 M","1,216 M",309 M,
2019'Q3,"45,461 M","46,365 M","22,312 M","42,770 M","8,652 M","7,985 M","3,704 M","1,798 M","2,834 M","3,034 M",,,,,,"14,287 M",868 M,991 M,"28,476 M",,,"30,607 M",,,"9,142 M","7,845 M","18,315 M","4,876 M","3,490 M","2,922 M","11,420 M","12,484 M",13 M,18 M,11 M,6 M,"13,847 M","2,700 M","3,512 M","10,429 M",,"20,184 M","18,181 M","22,516 M","10,510 M","2,258 M","2,387 M","4,587 M","1,638 M",40 M,"1,231 M",496 M,"28,646 M","13,736 M","10,613 M","13,068 M","1,256 M",326 M,
2019'Q4,"45,768 M","47,007 M","22,428 M","43,259 M","8,781 M","8,094 M","3,831 M","1,841 M","2,832 M","2,972 M",,,,,,"14,650 M",,"1,027 M","28,653 M",,,"30,607 M",,,"9,307 M","7,890 M","18,281 M","4,957 M","3,543 M","3,025 M","11,214 M","12,425 M",13 M,18 M,11 M,6 M,"13,737 M","2,707 M","3,622 M","10,431 M",,"20,060 M","18,329 M","22,800 M","10,632 M","2,310 M","2,460 M","4,743 M","1,742 M",38 M,"1,266 M",503 M,"28,289 M","13,893 M","11,155 M","13,160 M","1,296 M",344 M,
2020'Q1,"38,660 M","39,529 M","19,083 M","36,283 M","7,477 M","6,810 M","3,325 M","1,628 M","2,335 M","2,761 M",,,,,,"12,144 M",,994 M,"23,885 M",,,"26,357 M",,,"7,460 M","6,890 M","15,024 M","3,984 M","2,927 M","2,486 M","9,118 M","11,765 M",11 M,15 M,10 M,5 M,"11,816 M","2,231 M","3,073 M","8,907 M",,"17,869 M","16,208 M","20,818 M","9,133 M","2,139 M","2,256 M","4,055 M","1,503 M",46 M,"1,070 M",377 M,"23,639 M","12,426 M","9,442 M","11,554 M","1,098 M",292 M,
2020'Q2,"31,553 M","32,051 M","15,738 M","29,307 M","6,174 M","5,526 M","2,820 M","1,416 M","1,839 M","2,550 M",,,,,,"9,639 M",,961 M,"19,116 M",,,"22,107 M",,,"5,612 M","5,890 M","11,767 M","3,012 M","2,310 M","1,946 M","7,023 M","11,105 M",9 M,12 M,9 M,5 M,"9,896 M","1,754 M","2,524 M","7,383 M",,"15,678 M","14,088 M","18,836 M","7,635 M","1,968 M","2,051 M","3,367 M","1,264 M",54 M,875 M,252 M,"18,989 M","10,960 M","7,729 M","9,947 M",900 M,240 M,
2020'Q3,"24,445 M","24,573 M","12,393 M","22,331 M","4,870 M","4,241 M","2,315 M","1,203 M","1,342 M","2,338 M",,,,,,"7,133 M",,927 M,"14,347 M",,,"17,856 M",,,"3,765 M","4,891 M","8,509 M","2,039 M","1,694 M","1,406 M","4,928 M","10,445 M",7 M,9 M,8 M,4 M,"7,975 M","1,278 M","1,976 M","5,859 M",,"13,487 M","11,968 M","16,854 M","6,137 M","1,797 M","1,847 M","2,680 M","1,026 M",62 M,679 M,126 M,"14,339 M","9,493 M","6,016 M","8,341 M",702 M,189 M,
2020'Q4,"17,337 M","17,095 M","9,048 M","15,355 M","3,566 M","2,957 M","1,810 M",990 M,845 M,"2,127 M",,,,,,"4,627 M",,894 M,"9,579 M",,,"13,606 M",,,"1,918 M","3,891 M","5,252 M","1,066 M","1,077 M",866 M,"2,832 M","9,785 M",4 M,7 M,7 M,4 M,"6,054 M",801 M,"1,427 M","4,335 M",,"11,295 M","9,847 M","14,872 M","4,638 M","1,626 M","1,643 M","1,992 M",787 M,70 M,483 M,,"9,689 M","8,026 M","4,303 M","6,734 M",504 M,137 M,
2021'Q1,"20,473 M","20,296 M","10,734 M","17,675 M","4,219 M","3,727 M","2,165 M","1,170 M","1,033 M","2,274 M",,,,,,"4,714 M",,945 M,"9,578 M",,,"14,260 M",,,"2,771 M","3,436 M","8,142 M","2,067 M","1,063 M","1,127 M","3,531 M","8,454 M",5 M,7 M,7 M,4 M,"6,002 M",978 M,"1,412 M","4,540 M",,"11,554 M","10,229 M","15,316 M","4,836 M","1,697 M","1,726 M","2,349 M",840 M,79 M,518 M,,"11,767 M","9,835 M","4,927 M","7,485 M",594 M,170 M,
2021'Q2,"23,610 M","23,497 M","12,419 M","19,995 M","4,871 M","4,497 M","2,520 M","1,349 M","1,221 M","2,420 M",,,,,,"4,801 M",,996 M,"9,577 M",,,"14,914 M",,,"3,624 M","2,982 M","11,031 M","3,067 M","1,049 M","1,387 M","4,229 M","7,124 M",5 M,7 M,7 M,4 M,"5,950 M","1,155 M","1,398 M","4,745 M",,"11,814 M","10,611 M","15,760 M","5,033 M","1,768 M","1,808 M","2,706 M",893 M,89 M,552 M,,"13,846 M","11,645 M","5,551 M","8,236 M",684 M,203 M,
2021'Q3,"26,746 M","26,698 M","14,105 M","22,314 M","5,524 M","5,267 M","2,876 M","1,528 M","1,409 M","2,567 M",,,,,,"4,888 M",,"1,047 M","9,577 M",,,"15,568 M",,,"4,477 M","2,527 M","13,921 M","4,067 M","1,034 M","1,647 M","4,928 M","5,794 M",5 M,8 M,7 M,4 M,"5,898 M","1,333 M","1,383 M","4,950 M",,"12,073 M","10,993 M","16,203 M","5,230 M","1,839 M","1,891 M","3,063 M",946 M,98 M,586 M,,"15,924 M","13,454 M","6,174 M","8,987 M",774 M,236 M,
2021'Q4,"29,882 M","29,899 M","15,790 M","24,634 M","6,176 M","6,037 M","3,231 M","1,708 M","1,597 M","2,713 M",,,,,,"4,975 M",,"1,098 M","9,576 M",,,"16,222 M",,,"5,329 M","2,073 M","16,811 M","5,068 M","1,020 M","1,907 M","5,626 M","4,464 M",6 M,8 M,8 M,4 M,"5,846 M","1,510 M","1,368 M","5,155 M",,"12,332 M","11,375 M","16,647 M","5,427 M","1,910 M","1,974 M","3,421 M",999 M,107 M,621 M,,"18,002 M","15,264 M","6,798 M","9,738 M",864 M,269 M,
2022'Q1,"34,654 M","35,070 M","17,796 M","29,714 M","7,044 M","6,817 M","3,690 M","1,856 M","1,858 M","2,786 M",,,,,,"6,774 M",,"1,202 M","13,333 M",,,"19,229 M",,,"6,927 M","3,154 M","20,332 M","8,518 M","1,435 M","2,526 M","7,568 M","4,950 M",7 M,9 M,8 M,4 M,"6,019 M","1,874 M","1,767 M","6,888 M",,"11,260 M","10,311 M","15,793 M","4,901 M","1,764 M","1,796 M","4,221 M","1,027 M",108 M,702 M,,"21,639 M","16,451 M","6,991 M","11,910 M","1,005 M",351 M,
2022'Q2,"39,427 M","40,241 M","19,802 M","34,795 M","7,911 M","7,598 M","4,150 M","2,005 M","2,119 M","2,859 M",,,,,,"8,573 M",,"1,306 M","17,089 M",,,"22,237 M",,,"8,524 M","4,234 M","23,853 M","11,969 M","1,849 M","3,145 M","9,511 M","5,436 M",8 M,11 M,9 M,4 M,"6,191 M","2,237 M","2,166 M","8,621 M",,"10,188 M","9,247 M","14,938 M","4,376 M","1,619 M","1,619 M","5,021 M","1,055 M",109 M,784 M,,"25,277 M","17,638 M","7,185 M","14,082 M","1,146 M",434 M,
2022'Q3,"44,199 M","45,411 M","21,808 M","39,875 M","8,779 M","8,378 M","4,609 M","2,153 M","2,380 M","2,932 M",,,,,,"10,372 M",,"1,410 M","20,846 M",,,"25,244 M",,,"10,121 M","5,315 M","27,374 M","15,419 M","2,263 M","3,763 M","11,453 M","5,922 M",9 M,12 M,10 M,5 M,"6,364 M","2,601 M","2,565 M","10,353 M",,"9,117 M","8,184 M","14,084 M","3,850 M","1,473 M","1,441 M","5,822 M","1,082 M",111 M,865 M,,"28,915 M","18,826 M","7,378 M","16,254 M","1,287 M",516 M,
2022'Q4,"48,971 M","50,582 M","23,814 M","44,955 M","9,646 M","9,158 M","5,068 M","2,302 M","2,641 M","3,005 M",,,,,,"12,171 M",,"1,514 M","24,602 M",,,"28,251 M",,,"11,718 M","6,395 M","30,895 M","18,869 M","2,677 M","4,382 M","13,395 M","6,408 M",10 M,13 M,11 M,5 M,"6,536 M","2,965 M","2,965 M","12,086 M",,"8,045 M","7,120 M","13,229 M","3,324 M","1,327 M","1,263 M","6,622 M","1,110 M",112 M,947 M,,"32,552 M","20,013 M","7,571 M","18,426 M","1,427 M",598 M,
2023'Q1,"49,925 M","52,449 M","24,383 M","47,146 M","9,841 M","9,272 M","5,142 M","2,354 M","2,660 M","2,988 M",,,,,,"13,245 M",,"1,607 M","26,588 M",,,"29,496 M",,,"12,422 M","7,306 M","32,032 M","20,537 M","2,866 M","4,778 M","13,574 M","8,096 M",11 M,13 M,11 M,5 M,"7,926 M","3,088 M","3,239 M","12,012 M",,"11,197 M","9,507 M","15,670 M","4,577 M","1,662 M","1,682 M","7,033 M","1,056 M",111 M,996 M,,"33,753 M","20,524 M","7,811 M","19,055 M","1,482 M",611 M,
2023'Q2,"50,880 M","54,315 M","24,953 M","49,336 M","10,036 M","9,387 M","5,215 M","2,406 M","2,679 M","2,970 M",,,,,,"14,319 M",,"1,699 M","28,574 M",,,"30,741 M",,,"13,126 M","8,216 M","33,169 M","22,204 M","3,054 M","5,173 M","13,753 M","9,784 M",11 M,13 M,12 M,5 M,"9,316 M","3,211 M","3,514 M","11,938 M",,"14,349 M","11,895 M","18,111 M","5,830 M","1,997 M","2,100 M","7,443 M","1,001 M",110 M,"1,044 M",,"34,954 M","21,036 M","8,051 M","19,684 M","1,538 M",624 M,
2023'Q3,"51,834 M","56,182 M","25,522 M","51,527 M","10,231 M","9,501 M","5,289 M","2,458 M","2,698 M","2,953 M",,,,,,"15,394 M",,"1,792 M","30,560 M",,,"31,987 M",,,"13,830 M","9,127 M","34,305 M","23,872 M","3,243 M","5,568 M","13,932 M","11,472 M",11 M,13 M,12 M,6 M,"10,706 M","3,334 M","3,789 M","11,863 M",,"17,501 M","15,131 M","20,552 M","7,653 M","2,512 M","2,691 M","7,854 M",947 M,109 M,"1,093 M",,"36,155 M","21,547 M","8,292 M","20,313 M","1,593 M",637 M,
2023'Q4,"52,653 M","57,759 M","26,391 M","53,914 M","10,426 M","9,536 M","5,344 M","2,493 M","2,716 M","2,953 M",,,,,,"15,940 M",,"2,070 M","31,633 M",,,"32,331 M",,,"13,599 M","10,037 M","35,343 M","27,930 M","3,301 M","6,289 M","15,665 M","13,160 M",11 M,14 M,12 M,6 M,"12,096 M","3,460 M","3,862 M","11,944 M",,"21,860 M","17,268 M","22,992 M","8,793 M","2,835 M","3,103 M","8,465 M",826 M,108 M,"1,142 M",,"37,356 M","22,058 M","8,532 M","20,906 M","1,657 M",614 M,
2024'Q1,"52,026 M","56,995 M","26,198 M","53,024 M","10,052 M","9,342 M","5,269 M","2,522 M",,"3,023 M",,,,,,"15,447 M",,"2,201 M","29,926 M",,,"30,677 M",,,"12,136 M","10,591 M","33,874 M","27,463 M","3,125 M","5,862 M","16,906 M","13,503 M",,,13 M,,"12,429 M","3,509 M","3,727 M","12,264 M",,"21,644 M","17,710 M","23,439 M",,,,"8,298 M",760 M,107 M,,,"38,478 M","22,105 M",,"20,349 M","1,665 M",602 M,
2024'Q2,"53,163 M","59,141 M","27,029 M","54,580 M","10,342 M","9,366 M","5,209 M","2,561 M",,"3,156 M",,,,,,"15,159 M",,"2,390 M","30,084 M",,,"30,318 M",,,"12,128 M","11,144 M","35,021 M","27,222 M","3,033 M","5,327 M","18,097 M","13,846 M",,,13 M,,"12,761 M","3,538 M","3,534 M","12,300 M",,"22,045 M","17,851 M","23,229 M",,,,"8,131 M",729 M,106 M,,,"39,874 M","22,151 M",,"20,865 M","1,673 M",610 M,
2024'Q3,"53,613 M","60,306 M","27,376 M","55,994 M","10,808 M","9,327 M","5,065 M","2,496 M",,"3,335 M",,,,,,"15,278 M",,"2,629 M","31,277 M",,,"30,989 M",,,"13,561 M","11,698 M","36,898 M","32,431 M","2,993 M","5,096 M","19,348 M","14,189 M",,,13 M,,"13,093 M","3,493 M","3,206 M","12,598 M",,"22,362 M","18,166 M","24,407 M",,,,"8,041 M",605 M,106 M,,,"41,217 M","22,197 M",,"22,259 M","1,748 M",657 M,
2024'Q4,"54,211 M","61,642 M","27,483 M","57,063 M","11,735 M","9,279 M","4,913 M","2,513 M",,"3,528 M",,,,,,"15,438 M",,"2,660 M","32,100 M",,,"31,460 M",,,"13,821 M","12,251 M","37,581 M","31,888 M","3,049 M","5,087 M","19,484 M","14,532 M",,,13 M,,"13,425 M","3,480 M","3,257 M","12,833 M",,"22,751 M","14,249 M","24,197 M",,,,"8,351 M",448 M,106 M,,,"42,586 M","22,244 M",,"22,669 M","1,778 M",676 M,
