IATA Code,AA,DL,WN,UA,AS,B6,NK,G4,HA,OO,CO,NW,TW,HP,US,AC,WS,,,BA,IB,AF/KL,AF,KL,FR,U2,LH,DY,AY,W6,SQ,QF,JL,NH,KE,OZ,CX,CM,G3,LA,,CA,MU,CZ,HU,9C,HO,6E,SG,9W,KQ,MN,EK,QR,SU,TK,G9,J9,RJ
Revenue TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012'Q4,"24,855 M","36,670 M","17,088 M","37,152 M","4,657 M","4,982 M","1,318 M",909 M,"1,962 M","3,534 M",,,,,,"12,172 M","3,444 M",804 M,"23,904 M",,,"35,527 M",,,"6,254 M","6,240 M",,"2,309 M","3,259 M","1,090 M","12,141 M","16,024 M",13 M,16 M,12 M,6 M,"12,822 M","2,249 M","3,956 M","9,942 M",,"16,023 M","13,632 M","16,064 M","4,451 M",892 M,705 M,,"1,053 M",,"1,154 M",508 M,"21,091 M",,"8,149 M",,782 M,225 M,
2013'Q1,"25,327 M","36,946 M","17,241 M","37,434 M","4,782 M","5,097 M","1,402 M",931 M,"2,011 M","3,475 M",,,,,,"12,039 M","3,443 M",845 M,"24,330 M",,,"34,473 M",,,"6,427 M","6,399 M",,"2,393 M","3,278 M","1,166 M","12,129 M","15,703 M",13 M,16 M,11 M,5 M,"12,856 M","2,339 M","3,931 M","10,773 M",,"16,039 M","13,821 M","16,140 M","4,677 M",937 M,772 M,,"1,055 M",,"1,172 M",514 M,"21,787 M",,"8,337 M",,807 M,227 M,
2013'Q2,"25,799 M","37,222 M","17,394 M","37,716 M","4,907 M","5,212 M","1,486 M",952 M,"2,059 M","3,416 M",,,,,,"11,905 M","3,443 M",886 M,"24,756 M",,,"33,419 M",,,"6,599 M","6,559 M",,"2,477 M","3,298 M","1,243 M","12,117 M","15,382 M",13 M,16 M,11 M,5 M,"12,891 M","2,429 M","3,905 M","11,604 M",,"16,056 M","14,010 M","16,217 M","4,903 M",983 M,838 M,,"1,056 M",,"1,190 M",521 M,"22,482 M",,"8,525 M",,833 M,230 M,
2013'Q3,"26,271 M","37,497 M","17,546 M","37,997 M","5,031 M","5,326 M","1,570 M",974 M,"2,107 M","3,357 M",,,,,,"11,771 M","3,442 M",927 M,"25,182 M",,,"32,365 M",,,"6,772 M","6,718 M",,"2,561 M","3,317 M","1,319 M","12,105 M","15,061 M",13 M,16 M,11 M,5 M,"12,925 M","2,519 M","3,880 M","12,435 M",,"16,072 M","14,199 M","16,293 M","5,129 M","1,028 M",904 M,,"1,058 M",,"1,208 M",527 M,"23,178 M",,"8,713 M",,858 M,232 M,
2013'Q4,"26,743 M","37,773 M","17,699 M","38,279 M","5,156 M","5,441 M","1,654 M",996 M,"2,156 M","3,298 M",,,,,,"11,637 M","3,442 M",968 M,"25,609 M",,,"31,310 M",,,"6,945 M","6,878 M",,"2,645 M","3,336 M","1,395 M","12,094 M","14,740 M",13 M,16 M,11 M,5 M,"12,960 M","2,608 M","3,855 M","13,266 M",,"16,089 M","14,388 M","16,369 M","5,355 M","1,073 M",970 M,,"1,059 M",,"1,226 M",534 M,"23,874 M",,"8,901 M",,884 M,235 M,
2014'Q1,"30,720 M","38,420 M","17,926 M","38,435 M","5,209 M","5,535 M","1,724 M","1,031 M","2,196 M","3,283 M",,,,,,"11,589 M","3,439 M",843 M,"25,328 M",,,"30,568 M",,,"6,729 M","6,990 M",,"2,641 M","3,201 M","1,376 M","11,897 M","14,670 M",12 M,15 M,11 M,5 M,"13,137 M","2,638 M","3,845 M","13,067 M",,"16,396 M","14,625 M","16,792 M","5,486 M","1,104 M",999 M,,"1,005 M",,"1,218 M",549 M,"24,464 M",,"8,100 M",,923 M,236 M,
2014'Q2,"34,697 M","39,068 M","18,152 M","38,590 M","5,262 M","5,629 M","1,793 M","1,067 M","2,235 M","3,268 M",,,,,,"11,540 M","3,435 M",718 M,"25,048 M",,,"29,826 M",,,"6,514 M","7,101 M",,"2,637 M","3,066 M","1,358 M","11,701 M","14,601 M",12 M,15 M,11 M,5 M,"13,313 M","2,667 M","3,836 M","12,869 M",,"16,703 M","14,861 M","17,215 M","5,617 M","1,134 M","1,028 M",,951 M,,"1,210 M",563 M,"25,054 M",,"7,298 M",,962 M,237 M,
2014'Q3,"38,673 M","39,715 M","18,379 M","38,746 M","5,315 M","5,723 M","1,862 M","1,102 M","2,275 M","3,253 M",,,,,,"11,491 M","3,432 M",593 M,"24,768 M",,,"29,084 M",,,"6,299 M","7,213 M",,"2,634 M","2,931 M","1,339 M","11,504 M","14,531 M",12 M,15 M,11 M,5 M,"13,490 M","2,697 M","3,826 M","12,670 M",,"17,010 M","15,097 M","17,637 M","5,748 M","1,165 M","1,056 M",,897 M,,"1,201 M",578 M,"25,645 M",,"6,497 M",,"1,001 M",238 M,
2014'Q4,"42,650 M","40,362 M","18,605 M","38,901 M","5,368 M","5,817 M","1,932 M","1,137 M","2,315 M","3,237 M",,,,,,"11,442 M","3,428 M",468 M,"24,488 M",,,"28,342 M",,,"6,083 M","7,325 M",,"2,630 M","2,796 M","1,320 M","11,308 M","14,462 M",11 M,14 M,11 M,5 M,"13,667 M","2,726 M","3,817 M","12,471 M",,"17,317 M","15,333 M","18,060 M","5,879 M","1,195 M","1,085 M","2,228 M",843 M,,"1,193 M",593 M,"26,235 M","9,272 M","5,696 M",,"1,040 M",240 M,
2015'Q1,"42,235 M","40,448 M","18,909 M","38,642 M","5,426 M","5,967 M","1,984 M","1,168 M","2,316 M","3,202 M",,,,,,"11,097 M","3,299 M",497 M,"24,588 M",,,"27,849 M",,,"6,423 M","7,274 M",,"2,611 M","2,767 M","1,397 M","11,299 M","13,883 M",11 M,15 M,11 M,5 M,"13,551 M","2,609 M","3,490 M","11,885 M",,"17,227 M","15,305 M","17,828 M","5,762 M","1,207 M","1,127 M","2,281 M",824 M,,"1,181 M",565 M,"25,993 M","9,373 M","5,743 M",,"1,044 M",232 M,
