Airline,American Airlines,Delta Air Lines,Southwest Airlines,United Airlines,Alaska Air,JetBlue,SkyWest,Northwest Airlines,TWA,Air Canada,IAG,Air France-KLM,Ryanair,easyJet,Deutsche Lufthansa,Finnair,Singapore Airlines,Qantas Airways,Cathay Pacific,LATAM Airlines,Air China,China Eastern,China Southern,Hainan Airlines,Qatar Airways,Aeroflot,Turkish Airlines
Status,public,public,public,public,public,public,public,merged with Delta 2008,"bankrupt 2001, acquired by AA",public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,private,"taken private 2023, war",public
Country,US,US,US,US,US,US,US,US,US,CA,EU,EU,EU,EU,EU,EU,SG,AU,HK,CL,CN,CN,CN,CN,QA,RU,TR
Region,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Europe,Europe,Europe,Europe,Europe,Europe,Asia Pacific,Asia Pacific,Asia Pacific,Latin America,China,China,China,China,Middle East,Russia,Turkey
Ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,
IATA,AA,DL,WN,UA,AS,B6,OO,NW,TW,AC,,AF/KL,FR,U2,LH,AY,SQ,QF,CX,LA,CA,MU,CZ,HU,QR,SU,TK
Revenue TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019'Q3,"45,461 M","46,365 M","22,312 M","42,770 M","8,652 M","7,985 M","3,034 M",,,"14,287 M","28,476 M","7,652 M","9,142 M","7,845 M","18,315 M","3,490 M","11,420 M","12,484 M","13,847 M","10,429 M","20,184 M","18,181 M","22,516 M","10,510 M","13,736 M","10,613 M","13,068 M"
2019'Q4,"45,768 M","47,007 M","22,428 M","43,259 M","8,781 M","8,094 M","2,972 M",,,"14,650 M","28,653 M",,"9,307 M","7,890 M","18,281 M","3,543 M","11,214 M","12,425 M","13,737 M","10,431 M","20,060 M","18,329 M","22,800 M","10,632 M","13,893 M","11,155 M","13,160 M"
2020'Q1,"38,660 M","39,529 M","19,083 M","36,283 M","7,477 M","6,810 M","2,761 M",,,"12,144 M","23,885 M",,"7,460 M","6,890 M","15,024 M","2,927 M","9,118 M","11,765 M","11,816 M","8,907 M","17,869 M","16,208 M","20,818 M","9,133 M","12,426 M","9,442 M","11,554 M"
2020'Q2,"31,553 M","32,051 M","15,738 M","29,307 M","6,174 M","5,526 M","2,550 M",,,"9,639 M","19,116 M",,"5,612 M","5,890 M","11,767 M","2,310 M","7,023 M","11,105 M","9,896 M","7,383 M","15,678 M","14,088 M","18,836 M","7,635 M","10,960 M","7,729 M","9,947 M"
2020'Q3,"24,445 M","24,573 M","12,393 M","22,331 M","4,870 M","4,241 M","2,338 M",,,"7,133 M","14,347 M",,"3,765 M","4,891 M","8,509 M","1,694 M","4,928 M","10,445 M","7,975 M","5,859 M","13,487 M","11,968 M","16,854 M","6,137 M","9,493 M","6,016 M","8,341 M"
2020'Q4,"17,337 M","17,095 M","9,048 M","15,355 M","3,566 M","2,957 M","2,127 M",,,"4,627 M","9,579 M","13,606 M","1,918 M","3,891 M","5,252 M","1,077 M","2,832 M","9,785 M","6,054 M","4,335 M","11,295 M","9,847 M","14,872 M","4,638 M","8,026 M","4,303 M","6,734 M"
2021'Q1,"20,473 M","20,296 M","10,734 M","17,675 M","4,219 M","3,727 M","2,274 M",,,"4,714 M","9,578 M","14,260 M","2,771 M","3,436 M","5,208 M","1,063 M","3,531 M","8,454 M","6,002 M","4,540 M","11,554 M","10,229 M","15,316 M","4,836 M","9,835 M","4,927 M","5,051 M"
2021'Q2,"23,610 M","23,497 M","12,419 M","19,995 M","4,871 M","4,497 M","2,420 M",,,"4,801 M","9,577 M","14,914 M","3,624 M","2,982 M","5,163 M","1,049 M","4,229 M","7,124 M","5,950 M","4,745 M","11,814 M","10,611 M","15,760 M","5,033 M","11,645 M","5,551 M","3,367 M"
2021'Q3,"26,746 M","26,698 M","14,105 M","22,314 M","5,524 M","5,267 M","2,567 M",,,"4,888 M","9,577 M","15,568 M","4,477 M","2,527 M","5,119 M","1,034 M","4,928 M","5,794 M","5,898 M","4,950 M","12,073 M","10,993 M","16,203 M","5,230 M","13,454 M","6,174 M","1,684 M"
2021'Q4,"29,882 M","29,899 M","15,790 M","24,634 M","6,176 M","6,037 M","2,713 M",,,"4,975 M","9,576 M","16,222 M","5,329 M","2,073 M","5,074 M","1,020 M","5,626 M","4,464 M","5,846 M","5,155 M","12,332 M","11,375 M","16,647 M","5,427 M","15,264 M","6,798 M",
2022'Q1,"34,654 M","35,070 M","17,796 M","29,714 M","7,044 M","6,817 M","2,786 M",,,"6,774 M","13,333 M","19,229 M","6,927 M","3,154 M","6,931 M","1,435 M","7,568 M","4,950 M","6,019 M","6,888 M","11,260 M","10,311 M","15,793 M","4,901 M","16,451 M","6,991 M",
2022'Q2,"39,427 M","40,241 M","19,802 M","34,795 M","7,911 M","7,598 M","2,859 M",,,"8,573 M","17,089 M","22,237 M","8,524 M","4,234 M","8,787 M","1,849 M","9,511 M","5,436 M","6,191 M","8,621 M","10,188 M","9,247 M","14,938 M","4,376 M","17,638 M","7,185 M",
2022'Q3,"44,199 M","45,411 M","21,808 M","39,875 M","8,779 M","8,378 M","2,932 M",,,"10,372 M","20,846 M","25,244 M","10,121 M","5,315 M","10,644 M","2,263 M","11,453 M","5,922 M","6,364 M","10,353 M","9,117 M","8,184 M","14,084 M","3,850 M","18,826 M","7,378 M",
2022'Q4,"48,971 M","50,582 M","23,814 M","44,955 M","9,646 M","9,158 M","3,005 M",,,"12,171 M","24,602 M","28,251 M","11,718 M","6,395 M","12,501 M","2,677 M","13,395 M","6,408 M","6,536 M","12,086 M","8,045 M","7,120 M","13,229 M","3,324 M","20,013 M","7,571 M",
2023'Q1,"49,925 M","52,449 M","24,383 M","47,146 M","9,841 M","9,272 M","2,988 M",,,"13,245 M","26,588 M","29,496 M","12,422 M","7,306 M","9,375 M","2,866 M","13,574 M","8,096 M","7,926 M","12,012 M","11,197 M","9,507 M","15,670 M","4,577 M","20,524 M","7,811 M",
2023'Q2,"50,880 M","54,315 M","24,953 M","49,336 M","10,036 M","9,387 M","2,970 M",,,"14,319 M","28,574 M","30,741 M","13,126 M","8,216 M","6,250 M","3,054 M","13,753 M","9,784 M","9,316 M","11,938 M","14,349 M","11,895 M","18,111 M","5,830 M","21,036 M","8,051 M",
2023'Q3,"51,834 M","56,182 M","25,522 M","51,527 M","10,231 M","9,501 M","2,953 M",,,"15,394 M","30,560 M","31,987 M","13,830 M","9,127 M","3,125 M","3,243 M","13,932 M","11,472 M","10,706 M","11,863 M","17,501 M","14,282 M","20,552 M","7,083 M","21,547 M","8,292 M",
2023'Q4,"52,788 M","58,048 M","26,091 M","53,717 M","10,426 M","9,615 M","2,935 M",,,"16,468 M","32,546 M","33,232 M","14,534 M","10,037 M",,"3,432 M","14,111 M","13,160 M","12,096 M","11,789 M","20,653 M","16,670 M","22,992 M","8,336 M","22,058 M","8,532 M",
