Airline,American Airlines,Delta Air Lines,Southwest Airlines,United Airlines,Alaska Air,JetBlue,SkyWest,Northwest Airlines,TWA,Air Canada,IAG,Air France-KLM,Ryanair,easyJet,Deutsche Lufthansa,Finnair,Singapore Airlines,Qantas Airways,Cathay Pacific,LATAM Airlines,Air China,China Eastern,China Southern,Hainan Airlines,Qatar Airways,Aeroflot,Turkish Airlines
Status,public,public,public,public,public,public,public,merged with Delta 2008,"bankrupt 2001, acquired by AA",public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,private,"taken private 2023, war",public
Country,US,US,US,US,US,US,US,US,US,CA,EU,EU,EU,EU,EU,EU,SG,AU,HK,CL,CN,CN,CN,CN,QA,RU,TR
Region,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Europe,Europe,Europe,Europe,Europe,Europe,Asia Pacific,Asia Pacific,Asia Pacific,Latin America,China,China,China,China,Middle East,Russia,Turkey
Ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,
IATA,AA,DL,WN,UA,AS,B6,OO,NW,TW,AC,,AF/KL,FR,U2,LH,AY,SQ,QF,CX,LA,CA,MU,CZ,HU,QR,SU,TK
Revenue TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006'Q4,"22,563 M","17,532 M","9,086 M","19,340 M","3,334 M","2,364 M","3,115 M","12,568 M",,"8,639 M",,"30,799 M","2,979 M","3,027 M",,"2,641 M","9,553 M","10,146 M","7,858 M","3,091 M","5,971 M","4,850 M","5,938 M","1,585 M",,"3,008 M",
2007'Q1,"22,656 M","17,938 M","9,280 M","19,541 M","3,377 M","2,484 M","3,180 M","12,558 M",,"9,168 M",,"32,800 M","3,307 M","3,183 M",,"2,799 M","10,059 M","10,780 M","8,324 M","3,207 M","6,229 M","5,113 M","6,333 M","1,638 M",,"3,212 M",
2007'Q2,"22,749 M","18,343 M","9,474 M","19,742 M","3,420 M","2,604 M","3,244 M","12,548 M",,"9,696 M",,"34,801 M","3,635 M","3,339 M",,"2,956 M","10,564 M","11,413 M","8,790 M","3,324 M","6,487 M","5,376 M","6,727 M","1,691 M",,"3,415 M",
2007'Q3,"22,842 M","18,749 M","9,667 M","19,942 M","3,463 M","2,723 M","3,309 M","12,538 M",,"10,225 M",,"36,802 M","3,963 M","3,495 M",,"3,114 M","11,070 M","12,046 M","9,256 M","3,440 M","6,745 M","5,638 M","7,122 M","1,744 M",,"3,618 M",
2007'Q4,"22,935 M","19,154 M","9,861 M","20,143 M","3,506 M","2,843 M","3,374 M","12,528 M",,"10,753 M",,"38,803 M","4,291 M","3,651 M",,"3,272 M","11,575 M","12,679 M","9,722 M","3,557 M","7,003 M","5,901 M","7,517 M","1,797 M",,"3,821 M",
2008'Q1,"23,143 M","20,040 M","10,152 M","20,156 M","3,545 M","2,980 M","3,405 M","12,789 M",,"10,346 M",,"37,141 M","4,197 M","3,801 M",,"3,248 M","11,313 M","13,406 M","10,084 M","3,738 M","7,204 M","5,943 M","7,700 M","1,830 M",,"4,024 M",
2008'Q2,"23,351 M","20,926 M","10,442 M","20,169 M","3,584 M","3,118 M","3,435 M","13,050 M",,"9,939 M",,"35,479 M","4,103 M","3,952 M",,"3,225 M","11,052 M","14,133 M","10,446 M","3,920 M","7,405 M","5,985 M","7,882 M","1,862 M",,"4,228 M",
2008'Q3,"23,558 M","21,811 M","10,733 M","20,181 M","3,623 M","3,255 M","3,466 M","13,311 M",,"9,532 M",,"33,817 M","4,009 M","4,102 M",,"3,202 M","10,790 M","14,860 M","10,807 M","4,101 M","7,606 M","6,027 M","8,064 M","1,894 M",,"4,431 M",
2008'Q4,"23,766 M","22,697 M","11,023 M","20,194 M","3,663 M","3,392 M","3,496 M","13,572 M",,"9,125 M",,"32,155 M","3,915 M","4,253 M",,"3,178 M","10,528 M","15,586 M","11,169 M","4,283 M","7,807 M","6,069 M","8,246 M","1,927 M",,"4,635 M",
2009'Q1,"22,804 M","24,039 M","10,855 M","19,229 M","3,597 M","3,367 M","3,276 M","10,179 M",,"9,192 M",,"32,963 M","3,943 M","4,264 M",,"3,051 M","10,161 M","14,642 M","10,570 M","4,131 M","7,836 M","6,164 M","8,265 M","1,996 M",,"4,315 M",
2009'Q2,"21,842 M","25,380 M","10,687 M","18,265 M","3,531 M","3,342 M","3,055 M","6,786 M",,"9,260 M",,"33,771 M","3,971 M","4,275 M",,"2,923 M","9,793 M","13,697 M","9,972 M","3,978 M","7,866 M","6,260 M","8,283 M","2,066 M",,"3,995 M",
2009'Q3,"20,879 M","26,722 M","10,518 M","17,300 M","3,466 M","3,317 M","2,834 M","3,393 M",,"9,328 M",,"34,579 M","4,000 M","4,286 M",,"2,796 M","9,426 M","12,752 M","9,374 M","3,826 M","7,896 M","6,356 M","8,301 M","2,135 M",,"3,675 M",
2009'Q4,"19,917 M","28,063 M","10,350 M","16,335 M","3,400 M","3,292 M","2,614 M",,,"9,396 M",,"35,387 M","4,028 M","4,297 M",,"2,669 M","9,059 M","11,807 M","8,775 M","3,674 M","7,925 M","6,452 M","8,319 M","2,204 M",,"3,355 M",
2010'Q1,"20,480 M","28,986 M","10,789 M","18,083 M","3,508 M","3,414 M","2,651 M",,,"9,741 M",,"32,722 M","4,310 M","4,406 M",,"2,683 M","9,672 M","11,790 M","9,555 M","3,887 M","9,126 M","7,681 M","9,186 M","2,449 M",,"3,614 M",
2010'Q2,"21,044 M","29,909 M","11,227 M","19,830 M","3,616 M","3,536 M","2,689 M",,,"10,086 M",,"30,057 M","4,592 M","4,514 M",,"2,696 M","10,285 M","11,773 M","10,335 M","4,101 M","10,326 M","8,910 M","10,054 M","2,694 M",,"3,872 M",
2010'Q3,"21,607 M","30,832 M","11,666 M","21,578 M","3,724 M","3,657 M","2,727 M",,,"10,430 M",,"27,392 M","4,874 M","4,623 M",,"2,710 M","10,899 M","11,755 M","11,115 M","4,315 M","11,526 M","10,139 M","10,921 M","2,938 M",,"4,130 M",
2010'Q4,"22,170 M","31,755 M","12,104 M","23,325 M","3,832 M","3,779 M","2,765 M",,,"10,775 M","19,783 M","24,728 M","5,156 M","4,731 M",,"2,724 M","11,512 M","11,738 M","11,895 M","4,529 M","12,726 M","11,369 M","11,788 M","3,183 M",,"4,389 M",
2011'Q1,"22,622 M","32,595 M","12,993 M","26,771 M","3,954 M","3,960 M","2,988 M",,,"10,925 M","20,046 M","27,077 M","5,333 M","4,894 M",,"2,778 M","11,589 M","12,802 M","12,090 M","4,826 M","13,442 M","11,842 M","12,463 M","3,398 M",,"4,672 M",
2011'Q2,"23,075 M","33,435 M","13,881 M","30,218 M","4,075 M","4,142 M","3,210 M",,,"11,074 M","20,310 M","29,426 M","5,510 M","5,057 M",,"2,832 M","11,665 M","13,866 M","12,284 M","5,124 M","14,159 M","12,315 M","13,137 M","3,612 M",,"4,955 M",
2011'Q3,"23,527 M","34,275 M","14,770 M","33,664 M","4,196 M","4,323 M","3,432 M",,,"11,224 M","20,573 M","31,775 M","5,687 M","5,220 M",,"2,885 M","11,742 M","14,930 M","12,478 M","5,421 M","14,875 M","12,787 M","13,811 M","3,827 M",,"5,239 M",
