,ABNB,BKNG,EXPE,TCOM,TRIP,TRVG,EDR,DESP,MMYT,Ixigo,SEERA,Almosafer,Wego,Webjet,Webjet OTA,Cleartrip Arabia,Cleartrip ME & Flyin,LMN,EaseMyTrip,Yatra,Orbitz,Travelocity,FLT,Skyscanner,Etraveli,Kiwi,Cleartrip,Traveloka,LONG,TCEL
2006'Q1,,"$1,003Ê","$2,149Ê",$76Ê,,,,,,,,,,$7Ê,,,,,,,,,$710Ê,,,,,,$25Ê,
2006'Q2,,"$1,043Ê","$2,179Ê",$84Ê,,,,,,,,,,$9Ê,,,,,,,,,$725Ê,,,,,,$27Ê,
2006'Q3,,"$1,083Ê","$2,208Ê",$93Ê,,,,,,,,,,$10Ê,,,,,,,,,$779Ê,,,,,,$30Ê,
2006'Q4,,"$1,123Ê","$2,238Ê",$101Ê,,,,,,,,,,$11Ê,,,,,,,,,$834Ê,,,,,,$32Ê,
2007'Q1,,"$1,195Ê","$2,345Ê",$118Ê,,,,,,,,,,$12Ê,,,,,,,,,$889Ê,,,,,,$34Ê,
2007'Q2,,"$1,266Ê","$2,451Ê",$135Ê,,,,,,,,,,$13Ê,,,,,,,$859Ê,,$944Ê,,,,,,$36Ê,
2007'Q3,,"$1,338Ê","$2,558Ê",$152Ê,,,,,,,,,,$16Ê,,,,,,,$859Ê,,"$1,054Ê",,,,,,$39Ê,
2007'Q4,,"$1,409Ê","$2,665Ê",$169Ê,,,,,,,,,,$18Ê,,,,,,,$859Ê,,"$1,165Ê",,,,,,$41Ê,
2008'Q1,,"$1,528Ê","$2,733Ê",$183Ê,,,,,,,,,,$20Ê,,,,,,,$862Ê,,"$1,276Ê",,,,,,$43Ê,
2008'Q2,,"$1,647Ê","$2,801Ê",$197Ê,,,,,$69Ê,,,,,$23Ê,,,,,,,$865Ê,,"$1,387Ê",,,,,,$44Ê,
2008'Q3,,"$1,766Ê","$2,869Ê",$211Ê,,,,,$69Ê,,,,,$23Ê,,,,,,,$867Ê,,"$1,380Ê",,,,,,$46Ê,
2008'Q4,,"$1,885Ê","$2,937Ê",$225Ê,,,,,$69Ê,,,,,$23Ê,,,,,,,$870Ê,,"$1,373Ê",,,,,,$48Ê,
2009'Q1,,"$1,998Ê","$2,889Ê",$244Ê,,,,,$69Ê,,$190Ê,,,$23Ê,,,,,,,$837Ê,,"$1,365Ê",,,,,,$49Ê,
2009'Q2,,"$2,112Ê","$2,840Ê",$262Ê,$352Ê,,,,$72Ê,,$190Ê,,,$23Ê,,,,,,,$804Ê,,"$1,358Ê",,,,,,$50Ê,
2009'Q3,,"$2,225Ê","$2,792Ê",$281Ê,$352Ê,,,,$76Ê,,$190Ê,,,$25Ê,,,,,,,$771Ê,,"$1,394Ê",,,,,,$51Ê,
2009'Q4,,"$2,338Ê","$2,743Ê",$300Ê,$352Ê,,,,$80Ê,,$190Ê,,,$27Ê,,,,,,,$738Ê,,"$1,431Ê",,,,,,$52Ê,
2010'Q1,,"$2,525Ê","$2,816Ê",$338Ê,$385Ê,,,,$84Ê,,$209Ê,,,$29Ê,,,,,,,$743Ê,,"$1,467Ê",,,,,,$58Ê,
2010'Q2,,"$2,712Ê","$2,888Ê",$375Ê,$418Ê,,,,$94Ê,,$228Ê,,,$32Ê,,,,,,,$748Ê,,"$1,503Ê",,,,,,$63Ê,
2010'Q3,,"$2,898Ê","$2,961Ê",$413Ê,$451Ê,,,,$104Ê,,$246Ê,,,$35Ê,,,,,,,$753Ê,,"$1,615Ê",,,,,,$68Ê,
2010'Q4,,"$3,085Ê","$3,034Ê",$450Ê,$485Ê,,,,$114Ê,,$265Ê,,,$39Ê,,,,,,,$757Ê,,"$1,727Ê",,,,,,$73Ê,
2011'Q1,,"$3,403Ê","$3,137Ê",$481Ê,$523Ê,,,,$125Ê,,$272Ê,,,$43Ê,,,,,,,$760Ê,,"$1,840Ê",,,,,,$78Ê,
2011'Q2,,"$3,720Ê","$3,241Ê",$512Ê,$561Ê,,$566Ê,,$143Ê,,$279Ê,,,$47Ê,,,,,,,$763Ê,,"$1,952Ê",,,,,,$83Ê,
2011'Q3,,"$4,038Ê","$3,345Ê",$543Ê,$599Ê,,$566Ê,,$161Ê,,$286Ê,,,$50Ê,,,,,,,$765Ê,,"$1,969Ê",,,,,,$88Ê,
2011'Q4,,"$4,356Ê","$3,449Ê",$574Ê,$637Ê,,$566Ê,,$179Ê,,$292Ê,,,$53Ê,,,,,,,$768Ê,,"$1,987Ê",,,,,,$93Ê,
2012'Q1,,"$4,582Ê","$3,594Ê",$601Ê,$669Ê,,$566Ê,,$197Ê,,$303Ê,,,$56Ê,,,,$99Ê,,,$771Ê,,"$2,004Ê",,,,,,$100Ê,
